命令,参数,类型,必填,默认值,合法范围/选项,用途,路径行为
python main.py,--surface_model,字符串,否,neighborhood_mix,single / neighborhood_mix / translucent_layer / volume_scattering,Measurement model used to generate SPAD data.,—
python main.py,--dataset_mode,字符串,否,middlebury,labeled / raw / middlebury,Input dataset type.,—
python main.py,--output_dir,字符串,否,outputs/main_run,—,Directory for generated .npz samples.,输出目录：输入校验通过后自动创建；非空需 --overwrite
python main.py,--limit,整数,否,1,整数 >= 1,Positive number of samples to generate in this quick-run entry point.,—
python main.py,--res,整数,否,64,整数 >= 1,Positive square output resolution in pixels.,—
python main.py,--bins,整数,否,1024,整数 >= 1,Positive number of temporal bins.,—
python main.py,--param_idx,整数,否,10,整数 1—10,Photon simulation parameter index from 1 to 10.,—
python main.py,--save_x,布尔开关,否,False,—,Save x proxy for visualization/debugging.,—
python main.py,--save_clean_transient,布尔开关,否,False,—,Save clean transient before Poisson sampling for multi-return models.,—
python main.py,--middlebury_root,字符串,否,middlebury/raw,—,Middlebury raw dataset root.,输入目录：对应数据模式启用时必须存在
python main.py,--nyu_mat,字符串,否,NYUv2/nyu_depth_v2_labeled.mat,—,NYUv2 labeled .mat file.,输入文件：labeled 数据模式启用时必须存在
python main.py,--raw_root,字符串,否,NYUv2/raw,—,NYUv2 raw dataset root.,输入目录：对应数据模式启用时必须存在
python main.py,--display,字符串,否,verify,verify / browse / none,"Display mode after generation. 'verify' uses Matplotlib, 'browse' uses OpenCV.",—
python main.py,"--output_fig, --save_fig",字符串,否,未设置,—,Optional figure file for verify display; --save_fig is a compatibility alias.,输出文件：输入校验通过后自动创建父目录；已存在需 --overwrite
python main.py,--mix_kernel_size,整数,否,5,正奇数,Positive odd neighborhood-mixing kernel size.,—
python main.py,--mix_sigma_xy,浮点数,否,1.0,有限浮点数 > 0,Positive spatial Gaussian sigma in pixels.,—
python main.py,--mix_time_sigma_bins,浮点数,否,2.0,有限浮点数 > 0,Positive temporal Gaussian sigma in bins.,—
python main.py,--translucent_front_type,字符串,否,sinusoidal,flat / sloped / sinusoidal,Front semi-transparent layer geometry.,—
python main.py,--translucent_front_depth,浮点数,否,1.0,有限浮点数 > 0,Positive front-layer depth in meters.,—
python main.py,--translucent_front_signal_ratio,浮点数,否,0.25,有限浮点数 >= 0,Nonnegative front-layer reflection strength.,—
python main.py,--translucent_transmission,浮点数,否,0.6,0 <= 值 <= 1,Back-scene transmission factor between 0 and 1.,—
python main.py,--volume_medium_type,字符串,否,fog,fog / water,Volume-scattering medium type.,—
python main.py,--volume_num_steps,整数,否,64,整数 >= 1,Positive number of path-scattering range samples.,—
python main.py,--overwrite,布尔开关,否,False,—,Allow replacement of existing generated samples and figure output.,—
spad-generate,--dataset_mode,字符串,否,labeled,labeled / raw / middlebury,"Dataset mode: labeled (.mat), raw (scene folders), or middlebury.",—
spad-generate,--surface_model,字符串,否,single,single / neighborhood_mix / translucent_layer / volume_scattering,single: original single-surface generation; neighborhood_mix: multi-return simulation by spatial neighborhood mixing; translucent_layer: add a semi-transparent front layer; volume_scattering: medium scattering such as fog or water.,—
spad-generate,--mix_kernel_size,整数,否,5,正奇数,"Positive odd kernel size for neighborhood mixing, e.g. 3, 5, 7.",—
spad-generate,--mix_sigma_xy,浮点数,否,1.0,有限浮点数 > 0,Positive spatial Gaussian sigma in pixels for neighborhood mixing.,—
spad-generate,--mix_time_sigma_bins,浮点数,否,2.0,有限浮点数 > 0,Positive temporal Gaussian sigma in bins for neighborhood mixing.,—
spad-generate,--translucent_front_type,字符串,否,flat,flat / sloped / sinusoidal,Front semi-transparent layer geometry.,—
spad-generate,--translucent_front_depth,浮点数,否,1.0,有限浮点数 > 0,Positive base front-layer depth in meters.,—
spad-generate,--translucent_front_depth_x_slope,浮点数,否,0.0,有限浮点数,Finite depth slope along x in meters across normalized image width.,—
spad-generate,--translucent_front_depth_y_slope,浮点数,否,0.0,有限浮点数,Finite depth slope along y in meters across normalized image height.,—
spad-generate,--translucent_front_depth_amplitude,浮点数,否,0.1,有限浮点数 >= 0,Nonnegative amplitude in meters for sinusoidal depth variation.,—
spad-generate,--translucent_front_signal_ratio,浮点数,否,0.25,有限浮点数 >= 0,Nonnegative front-layer reflection strength relative to the back scene.,—
spad-generate,--translucent_transmission,浮点数,否,0.6,0 <= 值 <= 1,Back-scene transmission factor between 0 and 1.,—
spad-generate,--translucent_time_sigma_bins,浮点数,否,2.0,有限浮点数 > 0,Positive temporal Gaussian sigma in bins for the translucent-layer mode.,—
spad-generate,--volume_medium_type,字符串,否,fog,fog / water,Scattering medium type.,—
spad-generate,--volume_extinction_coeff,浮点数,否,未设置,有限浮点数 >= 0,Optional nonnegative extinction coefficient in 1/m; omit to use the medium default.,—
spad-generate,--volume_backscatter_ratio,浮点数,否,未设置,有限浮点数 >= 0,Optional nonnegative integrated-backscatter strength; omit to use the medium default.,—
spad-generate,--volume_scatter_depth_fraction,浮点数,否,0.9,0 < 值 <= 1,"Target-depth fraction used for scattering accumulation, in (0, 1].",—
spad-generate,--volume_num_steps,整数,否,64,整数 >= 1,Positive number of range samples used to approximate path scattering.,—
spad-generate,--volume_time_sigma_bins,浮点数,否,2.0,有限浮点数 > 0,Positive temporal Gaussian sigma in bins for volume scattering.,—
spad-generate,--volume_range_weight_power,浮点数,否,1.0,有限浮点数 >= 0,Nonnegative depth-weight exponent for scatter accumulation.,—
spad-generate,--volume_water_front_boost,浮点数,否,1.5,有限浮点数 >= 0,Nonnegative near-range scattering multiplier for water.,—
spad-generate,--volume_fog_front_boost,浮点数,否,1.0,有限浮点数 >= 0,Nonnegative near-range scattering multiplier for fog.,—
spad-generate,--save_clean_transient,布尔开关,否,False,—,Save the clean transient before Poisson sampling in multi-surface modes.,—
spad-generate,--nyu_mat,字符串,否,NYUv2/nyu_depth_v2_labeled.mat,—,Path to nyu_depth_v2_labeled.mat (used when --dataset_mode labeled).,输入文件：labeled 数据模式启用时必须存在
spad-generate,--raw_root,字符串,否,NYUv2/raw,—,Root directory of NYUv2 raw dataset (used when --dataset_mode raw).,输入目录：对应数据模式启用时必须存在
spad-generate,--raw_max_time_diff,浮点数,否,0.05,有限浮点数 >= 0,Nonnegative maximum timestamp difference in seconds for RGB/depth matching.,—
spad-generate,--raw_stride,整数,否,1,整数 >= 1,"Process every k-th matched raw frame, where k is positive.",—
spad-generate,--drop_first,整数,否,5,整数 >= 0,Nonnegative number of matched frames to drop from each sequence start.,—
spad-generate,--drop_last,整数,否,5,整数 >= 0,Nonnegative number of matched frames to drop from each sequence end.,—
spad-generate,--middlebury_root,字符串,否,middlebury/raw,—,Root directory of the Middlebury dataset (used when --dataset_mode middlebury).,输入目录：对应数据模式启用时必须存在
spad-generate,--middlebury_depth_min,浮点数,否,0.5,有限浮点数 >= 0,Nonnegative minimum pseudo depth in meters.,—
spad-generate,--middlebury_depth_max,浮点数,否,5.0,有限浮点数 > 0,Positive maximum pseudo depth in meters; must exceed the minimum.,—
spad-generate,--output_dir,字符串,否,outputs/spad_dataset,—,Directory to save generated .npz samples,输出目录：输入校验通过后自动创建；非空需 --overwrite
spad-generate,--param_idx,整数,否,10,整数 1—10,Photon simulation parameter index from 1 to 10.,—
spad-generate,--res,整数,否,64,整数 >= 1,Positive square output resolution in pixels.,—
spad-generate,--bins,整数,否,1024,整数 >= 1,Positive number of temporal bins.,—
spad-generate,--bin_size,浮点数,否,8e-11,有限浮点数 > 0,Positive temporal bin size in seconds.,—
